County,State,Cases,Level
Aleutians West Census Area,AK,0.0,Green
Aleutians East Borough,AK,0.0,Green
Bristol Bay Borough,AK,0.0,Green
Bethel Census Area,AK,0.0,Green
Denali Borough,AK,0.0,Green
Dillingham Census Area,AK,0.0,Green
Haines Borough,AK,0.0,Green
Hoonah-Angoon Census Area,AK,0.0,Green
Ketchikan Gateway Borough,AK,0.0,Green
Lake and Peninsula Borough,AK,0.0,Green
Kusilvak Census Area,AK,0.0,Green
Kodiak Island Borough,AK,0.0,Green
Northwest Arctic Borough,AK,0.0,Green
North Slope Borough,AK,0.0,Green
Nome Census Area,AK,0.0,Green
Petersburg Census Area,AK,0.0,Green
Prince of Wales-Hyder Census Area,AK,0.0,Green
Southeast Fairbanks Census Area,AK,0.0,Green
Skagway Municipality,AK,0.0,Green
Sitka City and Borough,AK,0.0,Green
Valdez-Cordova Census Area,AK,0.0,Green
Yukon-Koyukuk Census Area,AK,0.0,Green
Yakutat City and Borough,AK,0.0,Green
Wrangell City and Borough,AK,0.0,Green
Statewide Unallocated,AK,0.0,Green
City and Borough of Juneau,AK,0.4,Green
Fairbanks North Star Borough,AK,4.9,Yellow
Matanuska-Susitna Borough,AK,5.3,Yellow
Municipality of Anchorage,AK,6.7,Yellow
Kenai Peninsula Borough,AK,7.1,Yellow
Statewide Unallocated,AL,0.0,Green
Fayette County,AL,3.5,Yellow
Coosa County,AL,4.0,Yellow
Crenshaw County,AL,4.1,Yellow
Henry County,AL,5.0,Yellow
Lawrence County,AL,6.1,Yellow
Choctaw County,AL,7.9,Yellow
Lamar County,AL,9.3,Yellow
Washington County,AL,9.6,Yellow
Houston County,AL,10.3,Orange
Coffee County,AL,10.4,Orange
Cleburne County,AL,10.5,Orange
Clarke County,AL,10.9,Orange
Geneva County,AL,11.4,Orange
Blount County,AL,12.4,Orange
Colbert County,AL,12.4,Orange
Sumter County,AL,12.6,Orange
Cullman County,AL,13.3,Orange
Calhoun County,AL,14.7,Orange
Talladega County,AL,15.4,Orange
Dale County,AL,16.0,Orange
Chilton County,AL,16.1,Orange
Marion County,AL,16.3,Orange
Cherokee County,AL,16.4,Orange
Tallapoosa County,AL,17.0,Orange
Pike County,AL,17.7,Orange
Lauderdale County,AL,18.2,Orange
Baldwin County,AL,19.6,Orange
Bibb County,AL,19.8,Orange
Limestone County,AL,19.8,Orange
Madison County,AL,20.1,Orange
Barbour County,AL,20.3,Orange
Jackson County,AL,21.3,Orange
St. Clair County,AL,21.5,Orange
Shelby County,AL,21.7,Orange
Bullock County,AL,22.6,Orange
Morgan County,AL,22.7,Orange
Mobile County,AL,22.9,Orange
Butler County,AL,24.2,Orange
Winston County,AL,24.8,Orange
Covington County,AL,25.1,Red
Elmore County,AL,26.0,Red
Etowah County,AL,26.5,Red
Macon County,AL,27.7,Red
Marengo County,AL,28.0,Red
Lee County,AL,28.2,Red
Autauga County,AL,28.6,Red
Wilcox County,AL,28.9,Red
Franklin County,AL,29.6,Red
Tuscaloosa County,AL,30.2,Red
Pickens County,AL,30.8,Red
Russell County,AL,32.0,Red
Clay County,AL,32.4,Red
Monroe County,AL,32.4,Red
Randolph County,AL,32.7,Red
Jefferson County,AL,33.5,Red
Montgomery County,AL,34.3,Red
Chambers County,AL,34.8,Red
Walker County,AL,34.9,Red
Hale County,AL,35.1,Red
DeKalb County,AL,36.8,Red
Greene County,AL,38.7,Red
Marshall County,AL,44.4,Red
Lowndes County,AL,47.0,Red
Dallas County,AL,51.5,Red
Escambia County,AL,52.3,Red
Conecuh County,AL,54.5,Red
Perry County,AL,96.1,Red
Van Buren County,AR,0.0,Green
Statewide Unallocated,AR,0.0,Green
Ouachita County,AR,0.6,Green
Clark County,AR,1.3,Yellow
Baxter County,AR,1.4,Yellow
Montgomery County,AR,1.6,Yellow
Dallas County,AR,2.0,Yellow
White County,AR,2.2,Yellow
Little River County,AR,2.3,Yellow
Independence County,AR,2.3,Yellow
Greene County,AR,2.5,Yellow
Union County,AR,2.6,Yellow
Scott County,AR,2.8,Yellow
Poinsett County,AR,3.0,Yellow
Izard County,AR,3.1,Yellow
Boone County,AR,3.1,Yellow
Fulton County,AR,3.4,Yellow
Prairie County,AR,3.5,Yellow
Cross County,AR,3.5,Yellow
Lawrence County,AR,3.5,Yellow
Polk County,AR,3.6,Yellow
Newton County,AR,3.7,Yellow
Pike County,AR,4.0,Yellow
